pair_id,from_node,to_node,reachable,reason,same_path,short_total_length_km,short_total_weight_km,short_edges,short_hotspot_edges,short_hotspot_share_pct,short_avg_hotspot_rate,short_max_hotspot_rate,avoid_total_length_km,avoid_total_weight_km,avoid_edges,avoid_hotspot_edges,avoid_hotspot_share_pct,avoid_avg_hotspot_rate,avoid_max_hotspot_rate,extra_distance_km,hotspot_edges_reduction,avg_hotspot_rate_reduction,max_hotspot_rate_reduction,explainability_short
16,A407,A10,1,,0.0,5.3,6.865217,4.0,1.0,25.0,0.130435,0.521739,5.565217,5.565217,4.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.130435,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
17,A407,A1010,1,,0.0,6.2375,7.802717,5.0,1.0,20.0,0.104348,0.521739,6.502717,6.502717,5.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.104348,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
18,A407,A109,1,,0.0,5.8,7.365217,5.0,1.0,20.0,0.104348,0.521739,6.065217,6.065217,5.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.104348,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
19,A407,A1202 Curtain Rd,1,,0.0,5.6,7.165217,5.0,1.0,20.0,0.104348,0.521739,5.865217,5.865217,5.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.104348,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
20,A407,A10 Rectory Rd,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
21,A407,A107 Clapton Common,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
22,A407,A10/A5201,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
23,A407,A107,1,,0.0,7.7,9.265217,5.0,1.0,20.0,0.104348,0.521739,7.965217,7.965217,5.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.104348,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
24,A407,A100,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
25,A407,Druid St,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
26,A407,A100/A1210/A1211,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
27,A407,Dock Street,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
28,A407,A100/A2205,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
29,A407,A2208,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
30,A407,A100/A2206,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
31,A407,A2198,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
32,A407,A1003,1,,1.0,5.765217,5.765217,4.0,0.0,0.0,0.0,0.0,5.765217,5.765217,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
33,A407,A406(T),1,,1.0,6.565217,6.565217,5.0,0.0,0.0,0.0,0.0,6.565217,6.565217,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
34,A407,A1004,1,,1.0,6.3,6.3,3.0,0.0,0.0,0.0,0.0,6.3,6.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
35,A407,A111,1,,1.0,7.1,7.1,4.0,0.0,0.0,0.0,0.0,7.1,7.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
36,A407,A1006,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
37,A407,A112,1,,1.0,3.525,3.525,3.0,0.0,0.0,0.0,0.0,3.525,3.525,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
38,A407,A1009,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
39,A407,A1009  NEW  ROAD,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
40,A407,A1037,1,,1.0,2.825,2.825,2.0,0.0,0.0,0.0,0.0,2.825,2.825,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
41,A407,A1009 Chingford Lane,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
42,A407,A1009 Broadmead RD,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
43,A407,A101,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
44,A407,A1261,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
45,A407,A1011,1,,1.0,6.325,6.325,5.0,0.0,0.0,0.0,0.0,6.325,6.325,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
46,A407,A114,1,,0.0,6.383333,7.948551,5.0,1.0,20.0,0.104348,0.521739,6.648551,6.648551,5.0,0.0,0.0,0.0,0.0,0.265218,1.0,0.104348,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
47,A407,A102/A2,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
48,A407,A205,1,,0.0,6.9,8.465217,7.0,1.0,14.286,0.074534,0.521739,7.165217,7.165217,7.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.074534,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
49,A407,A1020,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
50,A407,A13,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
51,A407,A105,1,,1.0,4.4,4.4,2.0,0.0,0.0,0.0,0.0,4.4,4.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
52,A407,A103 Hornsey rd,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
53,A407,A503 Seven Sisters rd,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
54,A407,A1037  Waltham Way,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
55,A407,A110   Lea Valley Road,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
