hour_of_day,day_of_week,is_weekend,month,avg_true,avg_pred,hotspot_rate,n_rows
8.0,5.0,0.0,10.0,996.75,890.0557105882083,0.5,4
9.0,5.0,0.0,10.0,849.25,925.1343026481163,0.5,4
11.0,5.0,0.0,10.0,912.75,975.606403486621,0.75,4
17.0,5.0,0.0,10.0,939.75,1004.1930305898557,0.75,4
7.0,3.0,0.0,11.0,552.0,601.6240470242623,0.25,4
8.0,3.0,0.0,11.0,478.75,576.0327985521768,0.25,4
13.0,3.0,0.0,11.0,570.5,587.8223206176522,0.25,4
17.0,3.0,0.0,11.0,570.0,596.6877390947589,0.25,4
18.0,3.0,0.0,11.0,615.5,616.2329323449221,0.5,2
10.0,4.0,0.0,11.0,689.5,555.0544845208992,0.5,2
13.0,4.0,0.0,11.0,751.0,597.2766839458666,0.5,2
18.0,4.0,0.0,11.0,766.0,710.9253041349461,1.0,1
15.0,4.0,0.0,9.0,1220.3529411764705,1219.4878580463258,0.35294117647058826,17
16.0,4.0,0.0,9.0,1215.5294117647059,1262.3251911836674,0.35294117647058826,17
17.0,4.0,0.0,9.0,1307.5294117647059,1226.2896776255689,0.35294117647058826,17
8.0,5.0,0.0,9.0,1386.8333333333333,1396.7447696832007,0.5,6
10.0,5.0,0.0,9.0,1387.0,1308.7477023395018,0.5,6
13.0,5.0,0.0,9.0,1369.6666666666667,1348.5756433435217,0.6666666666666666,6
14.0,5.0,0.0,9.0,1328.1666666666667,1416.9362434282293,0.8333333333333334,6
16.0,5.0,0.0,9.0,1289.1666666666667,1444.9252089010818,0.5,6
9.0,6.0,0.0,9.0,1435.111111111111,1444.877570396172,0.3333333333333333,9
11.0,6.0,0.0,9.0,1548.111111111111,1487.475752693751,0.3333333333333333,9
12.0,6.0,0.0,9.0,1659.3333333333333,1541.8988052052393,0.3333333333333333,9
14.0,6.0,0.0,9.0,1860.5555555555557,1704.4327980028206,0.3333333333333333,9
16.0,3.0,0.0,9.0,2218.25,2203.8704202238114,0.375,8
18.0,3.0,0.0,9.0,2057.5,2173.956215217313,0.75,4
7.0,2.0,0.0,9.0,573.0,515.2144868896162,0.5,2
11.0,2.0,0.0,9.0,553.5,465.566332898359,0.5,2
18.0,2.0,0.0,9.0,573.0,593.6265861573347,1.0,1
7.0,3.0,0.0,10.0,858.1,787.2009147923574,0.3,10
12.0,3.0,0.0,10.0,848.0,840.4596396087014,0.4,10
16.0,3.0,0.0,10.0,797.6,892.1220065315574,0.3,10
17.0,3.0,0.0,10.0,813.4,833.6544174791528,0.4,10
9.0,4.0,0.0,10.0,776.5,719.7204560230318,0.3,10
12.0,4.0,0.0,10.0,754.4,784.9889358595344,0.4,10
15.0,4.0,0.0,10.0,762.8,819.8532984193822,0.3,10
17.0,4.0,0.0,10.0,766.0,831.7184208634638,0.3,10
10.0,5.0,0.0,10.0,994.0,854.4492607297287,0.5,4
18.0,5.0,0.0,10.0,904.0,836.8399010865526,1.0,2
9.0,3.0,0.0,11.0,605.75,509.19410657552305,0.5,4
12.0,3.0,0.0,11.0,550.75,574.9142202048635,0.25,4
15.0,3.0,0.0,11.0,567.5,623.9044800501322,0.25,4
7.0,4.0,0.0,11.0,821.0,462.9471878068317,0.5,2
11.0,4.0,0.0,11.0,603.5,530.1780325271961,0.5,2
14.0,4.0,0.0,11.0,571.0,641.6804163325384,0.5,2
15.0,4.0,0.0,11.0,811.5,632.8202677128993,0.5,2
