from_node,to_node,same_path,shortest_total_length_km,shortest_total_weight_km,avoid_total_length_km,avoid_total_weight_km,extra_distance_km,hot_edges_shortest,hot_edges_avoid,avg_hotspot_shortest,avg_hotspot_avoid,max_hotspot_shortest,max_hotspot_avoid,removed_edges_count,added_edges_count,error
A407,14,True,34.186019565378515,34.186019565378515,34.186019565378515,34.186019565378515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,2,True,8.972695613873308,8.972695613873308,8.972695613873308,8.972695613873308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,25,True,18.711463954920543,18.711463954920543,18.711463954920543,18.711463954920543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,3,True,23.008202391364634,23.008202391364634,23.008202391364634,23.008202391364634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,4,True,29.57221063697011,29.57221063697011,29.57221063697011,29.57221063697011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1,False,4.240844847259391,7.491303267496178,5.458772079436933,5.458772079436933,1.2179272321775425,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,2.0,
A407,A1/A5203,True,15.973438934988462,15.973438934988462,15.973438934988462,15.973438934988462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A10,True,24.381074226995608,24.381074226995608,24.381074226995608,24.381074226995608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A10 Rectory Rd,True,20.36013094399112,20.36013094399112,20.36013094399112,20.36013094399112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A10/A5201,True,15.015458155800712,15.015458155800712,15.015458155800712,15.015458155800712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A100,True,15.171097369765906,15.171097369765906,15.171097369765906,15.171097369765906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A100/A1210/A1211,True,14.735306395697119,14.735306395697119,14.735306395697119,14.735306395697119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A100/A2205,True,16.41787911697606,16.41787911697606,16.41787911697606,16.41787911697606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A100/A2206,True,14.530876281997868,14.530876281997868,14.530876281997868,14.530876281997868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1003,True,7.915604973455436,7.915604973455436,7.915604973455436,7.915604973455436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1004,True,11.06023475259136,11.06023475259136,11.06023475259136,11.06023475259136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1006,True,22.98154772499004,22.98154772499004,22.98154772499004,22.98154772499004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1009,True,25.208054025261557,25.208054025261557,25.208054025261557,25.208054025261557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1009  NEW  ROAD,True,26.791182376438382,26.791182376438382,26.791182376438382,26.791182376438382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1009 Chingford Lane,True,39.38523616330285,39.38523616330285,39.38523616330285,39.38523616330285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A101,True,18.721873391182967,18.721873391182967,18.721873391182967,18.721873391182967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1010,True,28.48314396286161,28.48314396286161,28.48314396286161,28.48314396286161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1011,True,24.742948809431635,24.742948809431635,24.742948809431635,24.742948809431635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A102/A2,True,41.876565538383886,41.876565538383886,41.876565538383886,41.876565538383886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1020,True,37.0705257315555,37.0705257315555,37.0705257315555,37.0705257315555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A103,True,20.20877281953976,20.20877281953976,20.20877281953976,20.20877281953976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A103 Hornsey rd,True,16.275768978169836,16.275768978169836,16.275768978169836,16.275768978169836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1037,True,26.45647391150566,26.45647391150566,26.45647391150566,26.45647391150566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A1037  Waltham Way,True,28.504753165862518,28.504753165862518,28.504753165862518,28.504753165862518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A104,True,20.00820043756639,20.00820043756639,20.00820043756639,20.00820043756639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A104 Islington Green,True,13.392661674475287,13.392661674475287,13.392661674475287,13.392661674475287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A104 roundabout,True,19.918079508867358,19.918079508867358,19.918079508867358,19.918079508867358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
A407,A105,True,11.22334512156486,11.22334512156486,11.22334512156486,11.22334512156486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
