region,from_node,to_node,same_path,short_len_km,short_weight_km,short_penalty_km,short_hot_edges,short_hot_share_pct,short_avg_hotspot,short_max_hotspot,avoid_len_km,avoid_weight_km,avoid_penalty_km,avoid_hot_edges,avoid_hot_share_pct,avoid_avg_hotspot,avoid_max_hotspot,delta_len_km,delta_weight_km,delta_hot_edges,explain_reason,explain_removed_edges,explain_removed_risky_edges,explain_removed_risky_top5
London,A407,A102,False,6.1850000000000005,8.334565217391305,2.1495652173913045,1,16.666666666666664,0.08695652173913043,0.5217391304347826,7.7818840579710145,7.7818840579710145,0.0,0,0.0,0.0,0.0,1.596884057971014,-0.5526811594202901,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,5,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A407,A103,False,4.4,5.965217391304348,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,4.665217391304347,4.665217391304347,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1037,True,2.825,2.825,0.0,0,0.0,0.0,0.0,2.825,2.825,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A104,True,5.585,7.734565217391305,2.1495652173913045,1,25.0,0.13043478260869565,0.5217391304347826,5.585,7.734565217391305,2.1495652173913045,1,25.0,0.13043478260869565,0.5217391304347826,0.0,0.0,0,No change (same path),0,0,
London,A407,A105,True,4.4,4.4,0.0,0,0.0,0.0,0.0,4.4,4.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A1055,False,5.6000000000000005,7.165217391304348,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,5.8652173913043475,5.8652173913043475,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1055 Conduit Lane,False,4.7,6.265217391304348,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,4.965217391304348,4.965217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.2999999999999998,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A106,False,6.1000000000000005,7.665217391304348,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,6.3652173913043475,6.3652173913043475,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A106 Grove Green Rd,True,3.925,3.925,0.0,0,0.0,0.0,0.0,3.925,3.925,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A107,False,7.7,9.265217391304349,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,7.965217391304348,7.965217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A107 Mare St,True,5.885,8.034565217391304,2.1495652173913045,1,20.0,0.10434782608695652,0.5217391304347826,5.885,8.034565217391304,2.1495652173913045,1,20.0,0.10434782608695652,0.5217391304347826,0.0,0.0,0,No change (same path),0,0,
London,A407,A1080,True,3.6652173913043478,3.6652173913043478,0.0,0,0.0,0.0,0.0,3.6652173913043478,3.6652173913043478,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A109,False,5.8,7.365217391304348,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,6.065217391304348,6.065217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A109/A5109,True,4.7,4.7,0.0,0,0.0,0.0,0.0,4.7,4.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A11,False,4.8,6.365217391304348,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,5.065217391304348,5.065217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A110,False,7.9,9.465217391304348,1.5652173913043481,1,16.666666666666664,0.08695652173913043,0.5217391304347826,8.165217391304347,8.165217391304347,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A110 Cecil Rd/Sydney Rd roundabout,True,11.4,11.4,0.0,0,0.0,0.0,0.0,11.4,11.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A110 Cecil Rd/Sydney Road roundabout,True,11.4,11.4,0.0,0,0.0,0.0,0.0,11.4,11.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A111,True,7.1,7.1,0.0,0,0.0,0.0,0.0,7.1,7.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A1110,False,6.5,8.065217391304348,1.5652173913043481,1,16.666666666666664,0.08695652173913043,0.5217391304347826,6.765217391304348,6.765217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.2999999999999998,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A112,True,3.525,3.525,0.0,0,0.0,0.0,0.0,3.525,3.525,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A113,True,7.485,9.634565217391305,2.1495652173913045,1,20.0,0.10434782608695652,0.5217391304347826,7.485,9.634565217391305,2.1495652173913045,1,20.0,0.10434782608695652,0.5217391304347826,0.0,0.0,0,No change (same path),0,0,
London,A407,A114,False,6.383333333333333,7.948550724637681,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,6.648550724637681,6.648550724637681,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A115,True,7.534090909090909,7.534090909090909,0.0,0,0.0,0.0,0.0,7.534090909090909,7.534090909090909,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A1153,False,11.3,12.865217391304348,1.5652173913043481,1,16.666666666666664,0.08695652173913043,0.5217391304347826,11.565217391304348,11.565217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A116,False,4.98,6.545217391304348,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,5.245217391304347,5.245217391304347,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A117,True,5.480555555555555,5.480555555555555,0.0,0,0.0,0.0,0.0,5.480555555555555,5.480555555555555,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A118,True,5.525,5.525,0.0,0,0.0,0.0,0.0,5.525,5.525,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A118/A127,False,9.200000000000001,10.765217391304349,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,9.465217391304348,9.465217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1199,False,6.628571428571429,8.437267080745341,1.8086956521739133,2,28.57142857142857,0.1614906832298137,0.6086956521739131,6.893788819875776,7.1372670807453416,0.24347826086956526,1,14.285714285714285,0.08695652173913045,0.6086956521739131,0.26521739130434696,-1.2999999999999998,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A12,True,6.534090909090909,6.534090909090909,0.0,0,0.0,0.0,0.0,6.534090909090909,6.534090909090909,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A1200,False,5.728571428571429,7.537267080745342,1.8086956521739133,2,33.33333333333333,0.1884057971014493,0.6086956521739131,5.9937888198757765,6.237267080745341,0.24347826086956526,1,16.666666666666664,0.10144927536231885,0.6086956521739131,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1201,False,6.385,8.534565217391304,2.1495652173913045,1,20.0,0.10434782608695652,0.5217391304347826,6.765217391304348,6.765217391304348,0.0,0,0.0,0.0,0.0,0.38021739130434806,-1.769347826086956,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,4,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A407,A1202,False,5.74,7.305217391304348,1.5652173913043481,1,14.285714285714285,0.07453416149068323,0.5217391304347826,6.005217391304347,6.005217391304347,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1202 Curtain Rd,False,5.6000000000000005,7.165217391304348,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,5.8652173913043475,5.8652173913043475,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1205,False,8.6,10.165217391304349,1.5652173913043481,1,16.666666666666664,0.08695652173913043,0.5217391304347826,8.865217391304348,8.865217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434874,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1208/A5201,False,6.24,7.805217391304348,1.5652173913043481,1,11.11111111111111,0.057971014492753624,0.5217391304347826,6.505217391304347,6.505217391304347,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1209,False,5.84,7.405217391304348,1.5652173913043481,1,12.5,0.06521739130434782,0.5217391304347826,6.105217391304348,6.105217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A1210/A1211,False,4.5,6.065217391304349,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,4.765217391304348,4.765217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A123,False,7.6000000000000005,9.165217391304349,1.5652173913043481,1,20.0,0.10434782608695652,0.5217391304347826,7.8652173913043475,7.8652173913043475,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000016,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A123/A1153,True,10.201923076923077,10.201923076923077,0.0,0,0.0,0.0,0.0,10.201923076923077,10.201923076923077,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A123/A1400,True,3.7125000000000004,3.7125000000000004,0.0,0,0.0,0.0,0.0,3.7125000000000004,3.7125000000000004,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A124,False,5.928571428571429,7.493788819875777,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,6.193788819875777,6.193788819875777,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A125,False,6.0,7.565217391304349,1.5652173913043481,1,25.0,0.13043478260869565,0.5217391304347826,6.265217391304348,6.265217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434785,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A13(T),True,7.480555555555555,7.480555555555555,0.0,0,0.0,0.0,0.0,7.480555555555555,7.480555555555555,0.0,0,0.0,0.0,0.0,0.0,0.0,0,No change (same path),0,0,
London,A407,A2,False,7.828571428571429,9.393788819875777,1.5652173913043481,1,16.666666666666664,0.08695652173913043,0.5217391304347826,8.093788819875776,8.093788819875776,0.0,0,0.0,0.0,0.0,0.26521739130434696,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
London,A407,A20,False,9.1,10.665217391304349,1.5652173913043481,1,12.5,0.06521739130434782,0.5217391304347826,9.365217391304348,9.365217391304348,0.0,0,0.0,0.0,0.0,0.26521739130434874,-1.3000000000000007,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A41->LA Boundary (risk=0.522, penalty=1.565)"
