step,src,dst,length_km,weight_km,hotspot_rate,is_hotspot,penalty_km,pair_id,route
4,LA Boundary,A201,0.2,0.44347826086956527,0.6086956521739131,1,0.24347826086956526,11,shortest_distance
5,A201,A1,0.7285714285714285,0.7285714285714285,0.0,0,0.0,11,shortest_distance
6,A1,A1200,0.8,0.8,0.0,0,0.0,11,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,11,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,11,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,11,avoid_hotspots
4,LA Boundary,A201,0.2,0.44347826086956527,0.6086956521739131,1,0.24347826086956526,11,avoid_hotspots
5,A201,A1,0.7285714285714285,0.7285714285714285,0.0,0,0.0,11,avoid_hotspots
6,A1,A1200,0.8,0.8,0.0,0,0.0,11,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,12,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,12,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,12,shortest_distance
4,LA Boundary,A201,0.2,0.44347826086956527,0.6086956521739131,1,0.24347826086956526,12,shortest_distance
5,A201,A1,0.7285714285714285,0.7285714285714285,0.0,0,0.0,12,shortest_distance
6,A1,A410,2.4153846153846152,2.4153846153846152,0.0,0,0.0,12,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,12,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,12,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,12,avoid_hotspots
4,LA Boundary,A201,0.2,0.44347826086956527,0.6086956521739131,1,0.24347826086956526,12,avoid_hotspots
5,A201,A1,0.7285714285714285,0.7285714285714285,0.0,0,0.0,12,avoid_hotspots
6,A1,A410,2.4153846153846152,2.4153846153846152,0.0,0,0.0,12,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,13,shortest_distance
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,13,shortest_distance
3,A504,A5000,0.5,0.5,0.0,0,0.0,13,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,13,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,13,avoid_hotspots
3,A504,A5000,0.5,0.5,0.0,0,0.0,13,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,14,shortest_distance
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,14,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,14,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,14,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,16,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,16,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,16,shortest_distance
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,16,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,16,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,16,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,16,avoid_hotspots
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,16,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,17,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,17,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,17,shortest_distance
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,17,shortest_distance
5,A10,A1010,0.9375,0.9375,0.0,0,0.0,17,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,17,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,17,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,17,avoid_hotspots
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,17,avoid_hotspots
5,A10,A1010,0.9375,0.9375,0.0,0,0.0,17,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,18,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,18,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,18,shortest_distance
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,18,shortest_distance
5,A10,A109,0.5,0.5,0.0,0,0.0,18,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,18,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,18,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,18,avoid_hotspots
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,18,avoid_hotspots
5,A10,A109,0.5,0.5,0.0,0,0.0,18,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,19,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,19,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,19,shortest_distance
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,19,shortest_distance
5,A10,A1202 Curtain Rd,0.3,0.3,0.0,0,0.0,19,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,19,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,19,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,19,avoid_hotspots
4,LA Boundary,A10,1.3,1.3,0.0,0,0.0,19,avoid_hotspots
5,A10,A1202 Curtain Rd,0.3,0.3,0.0,0,0.0,19,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,23,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,23,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,23,shortest_distance
4,LA Boundary,A106,2.1,2.1,0.0,0,0.0,23,shortest_distance
5,A106,A107,1.6,1.6,0.0,0,0.0,23,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,23,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,23,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,23,avoid_hotspots
4,LA Boundary,A106,2.1,2.1,0.0,0,0.0,23,avoid_hotspots
5,A106,A107,1.6,1.6,0.0,0,0.0,23,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,32,shortest_distance
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,32,shortest_distance
3,A504,A5000,0.5,0.5,0.0,0,0.0,32,shortest_distance
4,A5000,A1003,1.8,1.8,0.0,0,0.0,32,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,32,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,32,avoid_hotspots
3,A504,A5000,0.5,0.5,0.0,0,0.0,32,avoid_hotspots
4,A5000,A1003,1.8,1.8,0.0,0,0.0,32,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,33,shortest_distance
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,33,shortest_distance
3,A504,A5000,0.5,0.5,0.0,0,0.0,33,shortest_distance
4,A5000,A1003,1.8,1.8,0.0,0,0.0,33,shortest_distance
5,A1003,A406(T),0.8,0.8,0.0,0,0.0,33,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,33,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,33,avoid_hotspots
3,A504,A5000,0.5,0.5,0.0,0,0.0,33,avoid_hotspots
4,A5000,A1003,1.8,1.8,0.0,0,0.0,33,avoid_hotspots
5,A1003,A406(T),0.8,0.8,0.0,0,0.0,33,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,34,shortest_distance
2,A406,A105,2.3,2.3,0.0,0,0.0,34,shortest_distance
3,A105,A1004,1.9,1.9,0.0,0,0.0,34,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,34,avoid_hotspots
2,A406,A105,2.3,2.3,0.0,0,0.0,34,avoid_hotspots
3,A105,A1004,1.9,1.9,0.0,0,0.0,34,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,35,shortest_distance
2,A406,A105,2.3,2.3,0.0,0,0.0,35,shortest_distance
3,A105,A1004,1.9,1.9,0.0,0,0.0,35,shortest_distance
4,A1004,A111,0.8,0.8,0.0,0,0.0,35,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,35,avoid_hotspots
2,A406,A105,2.3,2.3,0.0,0,0.0,35,avoid_hotspots
3,A105,A1004,1.9,1.9,0.0,0,0.0,35,avoid_hotspots
4,A1004,A111,0.8,0.8,0.0,0,0.0,35,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,37,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,37,shortest_distance
3,A1037,A112,0.7,0.7,0.0,0,0.0,37,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,37,avoid_hotspots
2,A406,A1037,0.725,0.725,0.0,0,0.0,37,avoid_hotspots
3,A1037,A112,0.7,0.7,0.0,0,0.0,37,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,40,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,40,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,40,avoid_hotspots
2,A406,A1037,0.725,0.725,0.0,0,0.0,40,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,45,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,45,shortest_distance
3,A1037,A112,0.7,0.7,0.0,0,0.0,45,shortest_distance
4,A112,A118,2.0,2.0,0.0,0,0.0,45,shortest_distance
5,A118,A1011,0.8,0.8,0.0,0,0.0,45,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,45,avoid_hotspots
2,A406,A1037,0.725,0.725,0.0,0,0.0,45,avoid_hotspots
3,A1037,A112,0.7,0.7,0.0,0,0.0,45,avoid_hotspots
4,A112,A118,2.0,2.0,0.0,0,0.0,45,avoid_hotspots
5,A118,A1011,0.8,0.8,0.0,0,0.0,45,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,46,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,46,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,46,shortest_distance
4,LA Boundary,A11,0.7999999999999999,0.7999999999999999,0.0,0,0.0,46,shortest_distance
5,A11,A114,1.5833333333333333,1.5833333333333333,0.0,0,0.0,46,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,46,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,46,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,46,avoid_hotspots
4,LA Boundary,A11,0.7999999999999999,0.7999999999999999,0.0,0,0.0,46,avoid_hotspots
5,A11,A114,1.5833333333333333,1.5833333333333333,0.0,0,0.0,46,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,48,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,48,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,48,shortest_distance
4,LA Boundary,A234,0.3,0.3,0.0,0,0.0,48,shortest_distance
5,A234,A2015,0.5,0.5,0.0,0,0.0,48,shortest_distance
6,A2015,A2218,0.2,0.2,0.0,0,0.0,48,shortest_distance
7,A2218,A205,1.9,1.9,0.0,0,0.0,48,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,48,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,48,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,48,avoid_hotspots
4,LA Boundary,A234,0.3,0.3,0.0,0,0.0,48,avoid_hotspots
5,A234,A2015,0.5,0.5,0.0,0,0.0,48,avoid_hotspots
6,A2015,A2218,0.2,0.2,0.0,0,0.0,48,avoid_hotspots
7,A2218,A205,1.9,1.9,0.0,0,0.0,48,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,51,shortest_distance
2,A406,A105,2.3,2.3,0.0,0,0.0,51,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,51,avoid_hotspots
2,A406,A105,2.3,2.3,0.0,0,0.0,51,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,56,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,56,shortest_distance
3,A1037,A112,0.7,0.7,0.0,0,0.0,56,shortest_distance
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,56,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,56,avoid_hotspots
2,A406,A1037,0.725,0.725,0.0,0,0.0,56,avoid_hotspots
3,A1037,A112,0.7,0.7,0.0,0,0.0,56,avoid_hotspots
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,56,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,57,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,57,shortest_distance
3,A1037,A112,0.7,0.7,0.0,0,0.0,57,shortest_distance
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,57,shortest_distance
5,A104,A1006/A112 triangle,1.6,1.6,0.0,0,0.0,57,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,57,avoid_hotspots
2,A406,A1037,0.725,0.725,0.0,0,0.0,57,avoid_hotspots
3,A1037,A112,0.7,0.7,0.0,0,0.0,57,avoid_hotspots
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,57,avoid_hotspots
5,A104,A1006/A112 triangle,1.6,1.6,0.0,0,0.0,57,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,58,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,58,shortest_distance
3,A1037,A112,0.7,0.7,0.0,0,0.0,58,shortest_distance
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,58,shortest_distance
5,A104,A107 Mare St,0.3,0.3,0.0,0,0.0,58,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,58,avoid_hotspots
2,A406,A1037,0.725,0.725,0.0,0,0.0,58,avoid_hotspots
3,A1037,A112,0.7,0.7,0.0,0,0.0,58,avoid_hotspots
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,58,avoid_hotspots
5,A104,A107 Mare St,0.3,0.3,0.0,0,0.0,58,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,59,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,59,shortest_distance
3,A1037,A112,0.7,0.7,0.0,0,0.0,59,shortest_distance
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,59,shortest_distance
5,A104,A113,1.9,1.9,0.0,0,0.0,59,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,59,avoid_hotspots
2,A406,A1037,0.725,0.725,0.0,0,0.0,59,avoid_hotspots
3,A1037,A112,0.7,0.7,0.0,0,0.0,59,avoid_hotspots
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,59,avoid_hotspots
5,A104,A113,1.9,1.9,0.0,0,0.0,59,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,60,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,60,shortest_distance
3,A1037,A112,0.7,0.7,0.0,0,0.0,60,shortest_distance
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,60,shortest_distance
5,A104,A1201,0.8,0.8,0.0,0,0.0,60,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,60,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,60,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,60,avoid_hotspots
4,LA Boundary,A503,0.2,0.2,0.0,0,0.0,60,avoid_hotspots
5,A503,B540,1.7999999999999998,1.7999999999999998,0.0,0,0.0,60,avoid_hotspots
6,B540,A1201,0.5,0.5,0.0,0,0.0,60,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,61,shortest_distance
2,A406,A1037,0.725,0.725,0.0,0,0.0,61,shortest_distance
3,A1037,A112,0.7,0.7,0.0,0,0.0,61,shortest_distance
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,61,shortest_distance
5,A104,Evering Rd,1.3,1.3,0.0,0,0.0,61,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,61,avoid_hotspots
2,A406,A1037,0.725,0.725,0.0,0,0.0,61,avoid_hotspots
3,A1037,A112,0.7,0.7,0.0,0,0.0,61,avoid_hotspots
4,A112,A104,2.06,4.2095652173913045,0.5217391304347826,1,2.1495652173913045,61,avoid_hotspots
5,A104,Evering Rd,1.3,1.3,0.0,0,0.0,61,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,65,shortest_distance
2,A406,A105,2.3,2.3,0.0,0,0.0,65,shortest_distance
3,A105,A10(T),1.7,1.7,0.0,0,0.0,65,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,65,avoid_hotspots
2,A406,A105,2.3,2.3,0.0,0,0.0,65,avoid_hotspots
3,A105,A10(T),1.7,1.7,0.0,0,0.0,65,avoid_hotspots
1,A407,A406,2.1,2.1,0.0,0,0.0,66,shortest_distance
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,66,shortest_distance
3,A504,A1080,0.2,0.2,0.0,0,0.0,66,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,66,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,66,avoid_hotspots
3,A504,A1080,0.2,0.2,0.0,0,0.0,66,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,69,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,69,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,69,shortest_distance
