fold,model,train_end,test_end,train_rows,test_rows,rmse,mae,r2,geh_pct_lt5
1,LR,2006-10-23 11:00:00,2007-07-04 11:00:00,26501,3528,354.3550360974894,193.60125749334944,0.8994659747476086,61.02607709750567
1,GBT,2006-10-23 11:00:00,2007-07-04 11:00:00,26501,3528,345.93955009325225,190.06046349751352,0.904184386357399,60.941043083900226
2,LR,2012-04-20 15:00:00,2012-10-01 15:00:00,55072,3039,328.245224584131,210.40380166368226,0.9239396343550773,57.61763738071735
2,GBT,2012-04-20 15:00:00,2012-10-01 15:00:00,55072,3039,343.8628973375579,220.7447052471456,0.9165296543197252,55.54458703520895
3,LR,2018-06-14 14:00:00,2019-03-26 14:00:00,80305,2699,247.24706742174013,155.28959606289487,0.8769322697795181,64.46832160059282
3,GBT,2018-06-14 14:00:00,2019-03-26 14:00:00,80305,2699,237.7229580216847,152.14277530187,0.8862309468343272,62.949240459429426
