count_point_id,latitude,longitude,hotspot_rate,avg_pred,avg_true,n_rows
16102,51.46014282,-0.17043027,0.0,492.93069216256373,491.2608695652174,23
37114,51.58619555,-0.209686218,1.0,2343.20897659124,2347.782608695652,23
17171,51.57878105,-0.081959011,0.0,588.9284618422162,553.2608695652174,23
26649,51.59005677,-0.102907874,0.0,684.7419654880134,693.3913043478261,23
17009,51.52368203,-0.111231655,0.6086956521739131,261.2497528451437,272.30434782608694,23
37112,51.49780286,-0.282164202,0.6521739130434783,1319.7398175057353,1268.4347826086957,23
28114,51.41294737,-0.365646451,0.6521739130434783,573.5705786664208,569.2173913043479,23
36942,51.53889502,-0.386460362,0.5652173913043478,1082.243494086527,1067.391304347826,23
26146,51.51883269,-0.168367753,0.5217391304347826,683.5911072112605,733.6086956521739,23
16257,51.4503451,-0.147793823,0.0,440.93495365294564,438.0869565217391,23
36676,51.53179839,0.016994189,0.5652173913043478,444.9784672271821,422.2173913043478,23
27787,51.53716081,-0.155807453,0.5217391304347826,500.57804133419876,460.3478260869565,23
28498,51.53946118,-0.142014956,0.0,377.2394503564716,538.0909090909091,11
36113,51.39184662,-0.262274558,0.5217391304347826,3450.378785919408,3491.6521739130435,23
17637,51.51574491,-0.119285544,0.0,602.9573668316372,550.695652173913,23
26270,51.43250986,-0.128949193,0.5652173913043478,693.0616722584975,678.8695652173913,23
19035,51.50931288,-0.025070952,0.5217391304347826,593.6963851670849,687.5217391304348,23
7058,51.6057161,-0.025223669,1.0,3682.7177462501845,3826.608695652174,23
6629,51.55676715,-0.055763503,0.6521739130434783,663.4784345157085,656.4347826086956,23
6902,51.47070027,-0.273679086,0.5217391304347826,943.0979162700562,974.3913043478261,23
37116,51.59773165,0.005474027,0.5217391304347826,3839.831946425323,3896.217391304348,23
26080,51.58962022,-0.198435893,0.0,3263.3396563575357,3364.086956521739,23
7470,51.62165383,-0.176509337,0.0,581.724437426036,548.4782608695652,23
7055,51.54177425,-0.275893484,0.5217391304347826,3195.7796733009823,3114.1739130434785,23
16641,51.53502993,0.089233246,0.5217391304347826,460.69372959183056,433.8695652173913,23
36829,51.36521938,0.093662644,0.6086956521739131,518.3073652379926,553.1739130434783,23
7049,51.60666871,-0.427382233,0.0,482.7173569145695,507.0,23
6120,51.506221,-0.144088571,0.5217391304347826,958.0300020471547,970.8260869565217,23
26099,51.50202111,-0.095269507,0.0,350.05920217651965,312.2608695652174,23
27624,51.45893577,-0.179547505,0.0,817.1405617110297,1056.0,11
6071,51.51822828,-0.009838548,0.5217391304347826,2335.21141628982,2342.6521739130435,23
7571,51.46490552,-0.158722328,0.0,478.46489255269245,519.0434782608696,23
6643,51.5840312,-0.019090017,0.5217391304347826,539.7195415103081,558.5652173913044,23
26902,51.4793793,-0.187303054,0.5217391304347826,605.720694772463,563.304347826087,23
26787,51.4165975,0.069228943,0.0,350.5928223272003,337.7826086956522,23
17639,51.50929902,-0.155650747,0.5217391304347826,1740.6907225198254,1752.3478260869565,23
6121,51.49474172,-0.18633361,0.6956521739130435,1353.385001143943,1298.4782608695652,23
