from_node,to_node,route,step_index,src,dst,length_km,hotspot_rate,weight_km,penalty_km,src_lon,src_lat,dst_lon,dst_lat
A407,14,shortest_distance,1,A407,A41(T),1.2526638676309407,0.0,1.2526638676309407,0.0,-0.2144295742857143,51.56499002392857,-0.197086554,51.56172272999999
A407,14,shortest_distance,2,A41(T),Adelaide Rd roundabout,1.6877774339313854,0.0,1.6877774339313854,0.0,-0.197086554,51.56172272999999,-0.18198011800000002,51.54979923
A407,14,shortest_distance,3,Adelaide Rd roundabout,A41,0.8314831585239466,0.0,0.8314831585239466,0.0,-0.18198011800000002,51.54979923,-0.17898772504,51.5425567796
A407,14,shortest_distance,4,A41,B414,1.3238958704953925,0.0,1.3238958704953925,0.0,-0.17898772504,51.5425567796,-0.184883062,51.53122946
A407,14,shortest_distance,5,B414,A4205,1.484099239029587,0.0,1.484099239029587,0.0,-0.184883062,51.53122946,-0.179632358,51.51828862
A407,14,shortest_distance,6,A4205,A4206,1.5145174138509294,0.0,1.5145174138509294,0.0,-0.179632358,51.51828862,-0.195849126,51.50914184
A407,14,shortest_distance,7,A4206,A3220 Addison Crescent,1.486555208911798,0.0,1.486555208911798,0.0,-0.195849126,51.50914184,-0.207813684,51.49803949
A407,14,shortest_distance,8,A3220 Addison Crescent,A219/A4,0.6940088763577961,0.0,0.6940088763577961,0.0,-0.207813684,51.49803949,-0.215210811,51.493826821999996
A407,14,shortest_distance,9,A219/A4,A315 Studland St,0.9892833339295573,0.0,0.9892833339295573,0.0,-0.215210811,51.493826821999996,-0.22937439799999998,51.49264764
A407,14,shortest_distance,10,A315 Studland St,A402 Goldhawk Rd,1.0171329534026714,0.0,1.0171329534026714,0.0,-0.22937439799999998,51.49264764,-0.244008056,51.4934611
A407,14,shortest_distance,11,A402 Goldhawk Rd,A3003,1.9847240518911544,0.0,1.9847240518911544,0.0,-0.244008056,51.4934611,-0.2567152768,51.477461918
A407,14,shortest_distance,12,A3003,A3000,1.9729760534366785,0.0,1.9729760534366785,0.0,-0.2567152768,51.477461918,-0.274130443,51.49150530375
A407,14,shortest_distance,13,A3000,M4 jn2,0.8348431508344388,0.0,0.8348431508344388,0.0,-0.274130443,51.49150530375,-0.28605675174999995,51.49261411916667
A407,14,shortest_distance,14,M4 jn2,A3002,1.6171364307105809,0.0,1.6171364307105809,0.0,-0.28605675174999995,51.49261411916667,-0.30928513494444443,51.494148314444445
A407,14,shortest_distance,15,A3002,A4001,2.227277855027226,0.0,2.227277855027226,0.0,-0.30928513494444443,51.494148314444445,-0.329854007,51.5095521
A407,14,shortest_distance,16,A4001,3,2.0898274934005503,0.0,2.0898274934005503,0.0,-0.329854007,51.5095521,-0.349111481,51.4950771
A407,14,shortest_distance,17,3,A3063,1.6646598020616874,0.0,1.6646598020616874,0.0,-0.349111481,51.4950771,-0.3714873771666667,51.489597233333335
A407,14,shortest_distance,18,A3063,A4,0.4743245832229718,0.0,0.4743245832229718,0.0,-0.3714873771666667,51.489597233333335,-0.3783351048275862,51.48946946724138
A407,14,shortest_distance,19,A4,A4(T),2.7445979694795324,0.0,2.7445979694795324,0.0,-0.3783351048275862,51.48946946724138,-0.41796882625,51.4890052825
