region,from_node,to_node,same_path,short_len_km,short_weight_km,short_penalty_km,short_hot_edges,short_hot_share_pct,short_avg_hotspot,short_max_hotspot,avoid_len_km,avoid_weight_km,avoid_penalty_km,avoid_hot_edges,avoid_hot_share_pct,avoid_avg_hotspot,avoid_max_hotspot,delta_len_km,delta_weight_km,delta_hot_edges,explain_reason,explain_removed_edges,explain_removed_risky_edges,explain_removed_risky_top5
London,A1009,2,False,20.28272727272727,25.832292490118576,5.549565217391304,2,25.0,0.19021739130434784,1.0,21.143500219587175,24.54350021958718,3.3999999999999995,1,11.11111111111111,0.1111111111111111,1.0,0.8607729468599032,-1.2887922705313954,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,29,False,10.959999999999999,16.509565217391305,5.549565217391304,2,33.33333333333333,0.2536231884057971,1.0,11.820772946859902,15.220772946859904,3.3999999999999995,1,14.285714285714285,0.14285714285714285,1.0,0.8607729468599032,-1.2887922705314008,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,3,False,11.882727272727273,17.432292490118577,5.549565217391304,2,28.57142857142857,0.2173913043478261,1.0,12.743500219587176,16.143500219587178,3.3999999999999995,1,12.5,0.125,1.0,0.8607729468599032,-1.288792270531399,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,4,False,8.982727272727272,14.532292490118579,5.549565217391304,2,33.33333333333333,0.2536231884057971,1.0,9.843500219587176,13.243500219587178,3.3999999999999995,1,14.285714285714285,0.14285714285714285,1.0,0.8607729468599032,-1.2887922705314008,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,A1,True,4.56,10.109565217391305,5.549565217391304,2,66.66666666666666,0.5072463768115942,1.0,4.56,10.109565217391305,5.549565217391304,2,66.66666666666666,0.5072463768115942,1.0,0.0,0.0,0,No change (same path),0,0,
London,A1009,A10,False,7.659999999999999,13.209565217391306,5.549565217391304,2,33.33333333333333,0.2536231884057971,1.0,8.520772946859903,11.920772946859906,3.3999999999999995,1,14.285714285714285,0.14285714285714285,1.0,0.8607729468599041,-1.2887922705314008,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,A10(T),False,7.16,12.709565217391305,5.549565217391304,2,40.0,0.30434782608695654,1.0,9.055555555555555,12.455555555555556,3.3999999999999995,1,16.666666666666664,0.16666666666666666,1.0,1.8955555555555552,-0.2540096618357488,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,A10/A1208,False,8.299999999999999,13.849565217391305,5.549565217391304,2,20.0,0.15217391304347827,1.0,9.160772946859902,12.560772946859904,3.3999999999999995,1,9.090909090909092,0.09090909090909091,1.0,0.8607729468599032,-1.2887922705314008,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,A1000,True,6.7555555555555555,10.155555555555555,3.3999999999999995,1,20.0,0.2,1.0,6.7555555555555555,10.155555555555555,3.3999999999999995,1,20.0,0.2,1.0,0.0,0.0,0,No change (same path),0,0,
London,A1009,A1000 Cherry Tree Hill,False,8.16,13.709565217391306,5.549565217391304,2,33.33333333333333,0.2536231884057971,1.0,9.020772946859903,12.420772946859906,3.3999999999999995,1,14.285714285714285,0.14285714285714285,1.0,0.8607729468599032,-1.2887922705314008,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,A1003,False,7.56,13.109565217391305,5.549565217391304,2,40.0,0.30434782608695654,1.0,8.720772946859903,12.120772946859905,3.3999999999999995,1,14.285714285714285,0.14285714285714285,1.0,1.160772946859903,-0.9887922705314001,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,A1004,False,7.359999999999999,12.909565217391306,5.549565217391304,2,40.0,0.30434782608695654,1.0,9.255555555555555,12.655555555555557,3.3999999999999995,1,16.666666666666664,0.16666666666666666,1.0,1.8955555555555552,-0.2540096618357488,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
London,A1009,A1006/A112 triangle,True,5.359999999999999,10.909565217391304,5.549565217391304,2,66.66666666666666,0.5072463768115942,1.0,5.359999999999999,10.909565217391304,5.549565217391304,2,66.66666666666666,0.5072463768115942,1.0,0.0,0.0,0,No change (same path),0,0,
London,A1009,A1008,False,7.06,12.609565217391305,5.549565217391304,2,33.33333333333333,0.2536231884057971,1.0,7.920772946859903,11.320772946859904,3.3999999999999995,1,14.285714285714285,0.14285714285714285,1.0,0.8607729468599032,-1.2887922705314008,1,Avoid-route changed to bypass higher-risk edges on the shortest route.,3,1,"A112->A104 (risk=0.522, penalty=2.150)"
