region,from_node,to_node,route,src,dst,length_km,hotspot_rate,weight_km,penalty_km
London,A1009,A10,avoid_hotspots,A117,A116,0.5,0.0,0.5,0.0
London,A1009,A10,avoid_hotspots,A116,A406,0.8999999999999999,0.0,0.8999999999999999,0.0
London,A1009,A10,avoid_hotspots,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0
London,A1009,A10,avoid_hotspots,A504,LA Boundary,0.8,0.0,0.8,0.0
London,A1009,A10,avoid_hotspots,LA Boundary,A10,1.3,0.0,1.3,0.0
London,A1009,A10(T),shortest_distance,A1009,A112,1.7,1.0,5.1,3.3999999999999995
London,A1009,A10(T),shortest_distance,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045
London,A1009,A10(T),shortest_distance,A104,A1201,0.8,0.0,0.8,0.0
London,A1009,A10(T),shortest_distance,A1201,A105,0.9,0.0,0.9,0.0
London,A1009,A10(T),shortest_distance,A105,A10(T),1.7,0.0,1.7,0.0
London,A1009,A10(T),avoid_hotspots,A1009,A112,1.7,1.0,5.1,3.3999999999999995
London,A1009,A10(T),avoid_hotspots,A112,A117,1.9555555555555555,0.0,1.9555555555555555,0.0
London,A1009,A10(T),avoid_hotspots,A117,A116,0.5,0.0,0.5,0.0
London,A1009,A10(T),avoid_hotspots,A116,A406,0.8999999999999999,0.0,0.8999999999999999,0.0
London,A1009,A10(T),avoid_hotspots,A406,A105,2.3,0.0,2.3,0.0
London,A1009,A10(T),avoid_hotspots,A105,A10(T),1.7,0.0,1.7,0.0
London,A1009,A10/A1208,shortest_distance,A1009,A112,1.7,1.0,5.1,3.3999999999999995
London,A1009,A10/A1208,shortest_distance,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045
London,A1009,A10/A1208,shortest_distance,A104,A1,0.8,0.0,0.8,0.0
London,A1009,A10/A1208,shortest_distance,A1,A504,1.0,0.0,1.0,0.0
London,A1009,A10/A1208,shortest_distance,A504,LA Boundary,0.8,0.0,0.8,0.0
London,A1009,A10/A1208,shortest_distance,LA Boundary,A40,0.3,0.0,0.3,0.0
London,A1009,A10/A1208,shortest_distance,A40,A5204,0.5,0.0,0.5,0.0
London,A1009,A10/A1208,shortest_distance,A5204,A501,0.74,0.0,0.74,0.0
London,A1009,A10/A1208,shortest_distance,A501,A1202,0.1999999999999999,0.0,0.1999999999999999,0.0
London,A1009,A10/A1208,shortest_distance,A1202,A10/A1208,0.2,0.0,0.2,0.0
London,A1009,A10/A1208,avoid_hotspots,A1009,A112,1.7,1.0,5.1,3.3999999999999995
London,A1009,A10/A1208,avoid_hotspots,A112,A117,1.9555555555555555,0.0,1.9555555555555555,0.0
London,A1009,A10/A1208,avoid_hotspots,A117,A116,0.5,0.0,0.5,0.0
London,A1009,A10/A1208,avoid_hotspots,A116,A406,0.8999999999999999,0.0,0.8999999999999999,0.0
London,A1009,A10/A1208,avoid_hotspots,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0
London,A1009,A10/A1208,avoid_hotspots,A504,LA Boundary,0.8,0.0,0.8,0.0
London,A1009,A10/A1208,avoid_hotspots,LA Boundary,A40,0.3,0.0,0.3,0.0
London,A1009,A10/A1208,avoid_hotspots,A40,A5204,0.5,0.0,0.5,0.0
London,A1009,A10/A1208,avoid_hotspots,A5204,A501,0.74,0.0,0.74,0.0
London,A1009,A10/A1208,avoid_hotspots,A501,A1202,0.1999999999999999,0.0,0.1999999999999999,0.0
London,A1009,A10/A1208,avoid_hotspots,A1202,A10/A1208,0.2,0.0,0.2,0.0
London,A1009,A1000,shortest_distance,A1009,A112,1.7,1.0,5.1,3.3999999999999995
London,A1009,A1000,shortest_distance,A112,A117,1.9555555555555555,0.0,1.9555555555555555,0.0
London,A1009,A1000,shortest_distance,A117,A116,0.5,0.0,0.5,0.0
London,A1009,A1000,shortest_distance,A116,A406,0.8999999999999999,0.0,0.8999999999999999,0.0
London,A1009,A1000,shortest_distance,A406,A1000,1.7,0.0,1.7,0.0
London,A1009,A1000,avoid_hotspots,A1009,A112,1.7,1.0,5.1,3.3999999999999995
London,A1009,A1000,avoid_hotspots,A112,A117,1.9555555555555555,0.0,1.9555555555555555,0.0
London,A1009,A1000,avoid_hotspots,A117,A116,0.5,0.0,0.5,0.0
London,A1009,A1000,avoid_hotspots,A116,A406,0.8999999999999999,0.0,0.8999999999999999,0.0
London,A1009,A1000,avoid_hotspots,A406,A1000,1.7,0.0,1.7,0.0
London,A1009,A1000 Cherry Tree Hill,shortest_distance,A1009,A112,1.7,1.0,5.1,3.3999999999999995
London,A1009,A1000 Cherry Tree Hill,shortest_distance,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045
London,A1009,A1000 Cherry Tree Hill,shortest_distance,A104,A1,0.8,0.0,0.8,0.0
London,A1009,A1000 Cherry Tree Hill,shortest_distance,A1,A504,1.0,0.0,1.0,0.0
London,A1009,A1000 Cherry Tree Hill,shortest_distance,A504,LA Boundary,0.8,0.0,0.8,0.0
