route,edges,total_length_km,total_weight_km,hotspot_edges,hotspot_edge_share,avg_hotspot_rate,max_hotspot_rate,from_node,to_node,same_path
avoid_hotspots,4,3.9250000000000003,3.9250000000000003,0,0.0,0.0,0.0,A407,A106 Grove Green Rd,True
shortest_distance,5,7.699999999999999,9.265217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A107,False
avoid_hotspots,5,7.965217391304348,7.965217391304348,0,0.0,0.0,0.0,A407,A107,False
shortest_distance,5,5.885000000000001,8.034565217391306,1,0.2,0.10434782608695652,0.5217391304347826,A407,A107 Mare St,True
avoid_hotspots,5,5.885000000000001,8.034565217391306,1,0.2,0.10434782608695652,0.5217391304347826,A407,A107 Mare St,True
shortest_distance,3,3.6652173913043478,3.6652173913043478,0,0.0,0.0,0.0,A407,A1080,True
avoid_hotspots,3,3.6652173913043478,3.6652173913043478,0,0.0,0.0,0.0,A407,A1080,True
shortest_distance,5,5.8,7.3652173913043475,1,0.2,0.10434782608695652,0.5217391304347826,A407,A109,False
avoid_hotspots,5,6.065217391304348,6.065217391304348,0,0.0,0.0,0.0,A407,A109,False
shortest_distance,4,4.7,4.7,0,0.0,0.0,0.0,A407,A109/A5109,True
avoid_hotspots,4,4.7,4.7,0,0.0,0.0,0.0,A407,A109/A5109,True
shortest_distance,4,4.8,6.3652173913043475,1,0.25,0.13043478260869565,0.5217391304347826,A407,A11,False
avoid_hotspots,4,5.065217391304348,5.065217391304348,0,0.0,0.0,0.0,A407,A11,False
shortest_distance,6,7.9,9.465217391304348,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A110,False
avoid_hotspots,6,8.165217391304347,8.165217391304347,0,0.0,0.0,0.0,A407,A110,False
shortest_distance,5,11.4,11.4,0,0.0,0.0,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout,True
avoid_hotspots,5,11.4,11.4,0,0.0,0.0,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout,True
shortest_distance,5,11.4,11.4,0,0.0,0.0,0.0,A407,A110 Cecil Rd/Sydney Road roundabout,True
avoid_hotspots,5,11.4,11.4,0,0.0,0.0,0.0,A407,A110 Cecil Rd/Sydney Road roundabout,True
shortest_distance,4,7.1000000000000005,7.1000000000000005,0,0.0,0.0,0.0,A407,A111,True
avoid_hotspots,4,7.1000000000000005,7.1000000000000005,0,0.0,0.0,0.0,A407,A111,True
shortest_distance,6,6.5,8.065217391304348,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A1110,False
avoid_hotspots,6,6.765217391304348,6.765217391304348,0,0.0,0.0,0.0,A407,A1110,False
shortest_distance,3,3.5250000000000004,3.5250000000000004,0,0.0,0.0,0.0,A407,A112,True
avoid_hotspots,3,3.5250000000000004,3.5250000000000004,0,0.0,0.0,0.0,A407,A112,True
shortest_distance,5,7.485000000000001,9.634565217391305,1,0.2,0.10434782608695652,0.5217391304347826,A407,A113,True
avoid_hotspots,5,7.485000000000001,9.634565217391305,1,0.2,0.10434782608695652,0.5217391304347826,A407,A113,True
shortest_distance,5,6.383333333333333,7.9485507246376805,1,0.2,0.10434782608695652,0.5217391304347826,A407,A114,False
avoid_hotspots,5,6.648550724637681,6.648550724637681,0,0.0,0.0,0.0,A407,A114,False
shortest_distance,6,7.534090909090909,7.534090909090909,0,0.0,0.0,0.0,A407,A115,True
avoid_hotspots,6,7.534090909090909,7.534090909090909,0,0.0,0.0,0.0,A407,A115,True
shortest_distance,6,11.3,12.865217391304348,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A1153,False
avoid_hotspots,6,11.565217391304348,11.565217391304348,0,0.0,0.0,0.0,A407,A1153,False
shortest_distance,4,4.98,6.545217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A116,False
avoid_hotspots,4,5.245217391304347,5.245217391304347,0,0.0,0.0,0.0,A407,A116,False
shortest_distance,4,5.480555555555556,5.480555555555556,0,0.0,0.0,0.0,A407,A117,True
avoid_hotspots,4,5.480555555555556,5.480555555555556,0,0.0,0.0,0.0,A407,A117,True
shortest_distance,4,5.525,5.525,0,0.0,0.0,0.0,A407,A118,True
avoid_hotspots,4,5.525,5.525,0,0.0,0.0,0.0,A407,A118,True
shortest_distance,5,9.2,10.765217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A118/A127,False
avoid_hotspots,5,9.465217391304348,9.465217391304348,0,0.0,0.0,0.0,A407,A118/A127,False
shortest_distance,7,6.628571428571429,8.437267080745341,2,0.2857142857142857,0.1614906832298137,0.6086956521739131,A407,A1199,False
avoid_hotspots,7,6.893788819875777,7.1372670807453416,1,0.14285714285714285,0.08695652173913045,0.6086956521739131,A407,A1199,False
shortest_distance,5,6.534090909090909,6.534090909090909,0,0.0,0.0,0.0,A407,A12,True
avoid_hotspots,5,6.534090909090909,6.534090909090909,0,0.0,0.0,0.0,A407,A12,True
shortest_distance,6,5.728571428571429,7.537267080745341,2,0.3333333333333333,0.1884057971014493,0.6086956521739131,A407,A1200,False
avoid_hotspots,6,5.9937888198757765,6.237267080745341,1,0.16666666666666666,0.10144927536231885,0.6086956521739131,A407,A1200,False
shortest_distance,5,6.385000000000001,8.534565217391306,1,0.2,0.10434782608695652,0.5217391304347826,A407,A1201,False
avoid_hotspots,6,6.765217391304348,6.765217391304348,0,0.0,0.0,0.0,A407,A1201,False
shortest_distance,7,5.74,7.305217391304348,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A1202,False
avoid_hotspots,7,6.005217391304348,6.005217391304348,0,0.0,0.0,0.0,A407,A1202,False
shortest_distance,5,5.6,7.165217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A1202 Curtain Rd,False
avoid_hotspots,5,5.8652173913043475,5.8652173913043475,0,0.0,0.0,0.0,A407,A1202 Curtain Rd,False
shortest_distance,6,8.6,10.165217391304347,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A1205,False
avoid_hotspots,6,8.865217391304348,8.865217391304348,0,0.0,0.0,0.0,A407,A1205,False
shortest_distance,9,6.24,7.805217391304348,1,0.1111111111111111,0.057971014492753624,0.5217391304347826,A407,A1208/A5201,False
avoid_hotspots,9,6.505217391304347,6.505217391304347,0,0.0,0.0,0.0,A407,A1208/A5201,False
shortest_distance,8,5.84,7.405217391304348,1,0.125,0.06521739130434782,0.5217391304347826,A407,A1209,False
avoid_hotspots,8,6.105217391304348,6.105217391304348,0,0.0,0.0,0.0,A407,A1209,False
shortest_distance,4,4.5,6.065217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A1210/A1211,False
avoid_hotspots,4,4.765217391304348,4.765217391304348,0,0.0,0.0,0.0,A407,A1210/A1211,False
shortest_distance,5,7.6,9.165217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A123,False
avoid_hotspots,5,7.865217391304348,7.865217391304348,0,0.0,0.0,0.0,A407,A123,False
shortest_distance,6,10.201923076923077,10.201923076923077,0,0.0,0.0,0.0,A407,A123/A1153,True
avoid_hotspots,6,10.201923076923077,10.201923076923077,0,0.0,0.0,0.0,A407,A123/A1153,True
shortest_distance,2,3.7125000000000004,3.7125000000000004,0,0.0,0.0,0.0,A407,A123/A1400,True
avoid_hotspots,2,3.7125000000000004,3.7125000000000004,0,0.0,0.0,0.0,A407,A123/A1400,True
shortest_distance,4,5.928571428571429,7.4937888198757765,1,0.25,0.13043478260869565,0.5217391304347826,A407,A124,False
avoid_hotspots,4,6.193788819875777,6.193788819875777,0,0.0,0.0,0.0,A407,A124,False
shortest_distance,4,6.0,7.565217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A125,False
avoid_hotspots,4,6.265217391304348,6.265217391304348,0,0.0,0.0,0.0,A407,A125,False
shortest_distance,5,7.480555555555556,7.480555555555556,0,0.0,0.0,0.0,A407,A13(T),True
avoid_hotspots,5,7.480555555555556,7.480555555555556,0,0.0,0.0,0.0,A407,A13(T),True
shortest_distance,6,7.828571428571428,9.393788819875775,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A2,False
avoid_hotspots,6,8.093788819875776,8.093788819875776,0,0.0,0.0,0.0,A407,A2,False
shortest_distance,8,9.1,10.665217391304349,1,0.125,0.06521739130434782,0.5217391304347826,A407,A20,False
avoid_hotspots,8,9.365217391304348,9.365217391304348,0,0.0,0.0,0.0,A407,A20,False
shortest_distance,4,4.1,5.665217391304347,1,0.25,0.13043478260869565,0.5217391304347826,A407,A200,False
avoid_hotspots,4,4.3652173913043475,4.3652173913043475,0,0.0,0.0,0.0,A407,A200,False
shortest_distance,6,10.5,12.06521739130435,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A200 Creek Rd/Romney Rd,False
avoid_hotspots,6,10.765217391304349,10.765217391304349,0,0.0,0.0,0.0,A407,A200 Creek Rd/Romney Rd,False
shortest_distance,5,6.4,7.965217391304348,1,0.2,0.10434782608695652,0.5217391304347826,A407,A2001,False
avoid_hotspots,5,6.665217391304348,6.665217391304348,0,0.0,0.0,0.0,A407,A2001,False
shortest_distance,4,4.2,6.0086956521739125,2,0.5,0.28260869565217395,0.6086956521739131,A407,A201,False
avoid_hotspots,4,4.465217391304348,4.708695652173913,1,0.25,0.15217391304347827,0.6086956521739131,A407,A201,False
shortest_distance,4,4.5,6.065217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A201 Blackfriars Bridge,False
avoid_hotspots,4,4.765217391304348,4.765217391304348,0,0.0,0.0,0.0,A407,A201 Blackfriars Bridge,False
shortest_distance,7,9.8,11.365217391304348,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A201/A3202,False
avoid_hotspots,7,10.06521739130435,10.06521739130435,0,0.0,0.0,0.0,A407,A201/A3202,False
shortest_distance,7,9.9,11.465217391304348,1,0.14285714285714285,0.07453416149068323,0.5217391304347826,A407,A201/A3203,False
avoid_hotspots,7,10.165217391304349,10.165217391304349,0,0.0,0.0,0.0,A407,A201/A3203,False
shortest_distance,5,4.8,6.3652173913043475,1,0.2,0.10434782608695652,0.5217391304347826,A407,A2015,False
avoid_hotspots,5,5.065217391304348,5.065217391304348,0,0.0,0.0,0.0,A407,A2015,False
shortest_distance,5,4.7,6.265217391304348,1,0.2,0.10434782608695652,0.5217391304347826,A407,A202,False
avoid_hotspots,5,4.965217391304348,4.965217391304348,0,0.0,0.0,0.0,A407,A202,False
shortest_distance,8,9.8,11.365217391304348,1,0.125,0.06521739130434782,0.5217391304347826,A407,A202 Clayton St,False
avoid_hotspots,8,10.065217391304348,10.065217391304348,0,0.0,0.0,0.0,A407,A202 Clayton St,False
shortest_distance,5,4.3,5.8652173913043475,1,0.2,0.10434782608695652,0.5217391304347826,A407,A203,False
avoid_hotspots,5,4.565217391304348,4.565217391304348,0,0.0,0.0,0.0,A407,A203,False
shortest_distance,6,10.6,12.165217391304347,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A204/A215 roundabout,False
avoid_hotspots,6,10.865217391304348,10.865217391304348,0,0.0,0.0,0.0,A407,A204/A215 roundabout,False
shortest_distance,5,4.8999999999999995,6.465217391304347,1,0.2,0.10434782608695652,0.5217391304347826,A407,A2043,False
